Número total de Estabelecimentos ou Unidades Locais - Industria
Sigla,Código,Município,1970,1975,1980,1985,1995,
BA,2908200,Conceição da Feira,21,13,4,10,8,
BA,2908309,Conceição do Almeida,10,5,16,18,16,
BA,2908408,Conceição do Coité,73,50,83,94,79,
BA,2908507,Conceição do Jacuípe,19,12,18,23,17,
BA,2908606,Conde,18,8,9,12,7,
BA,2908705,Condeúba,19,6,5,10,6,
BA,2908804,Contendas do Sincorá,5,7,4,5,3,
BA,2908903,Coração de Maria,9,8,11,8,7,
BA,2909000,Cordeiros,22,,6,6,0,
BA,2909109,Coribe,12,10,8,9,4,
BA,2909208,Coronel João Sá,6,16,14,12,9,
BA,2909307,Correntina,1,2,6,8,16,
BA,2909406,Cotegipe,39,67,54,23,0,
BA,2909505,Cravolândia,6,2,4,4,2,
BA,2909604,Crisópolis,76,108,44,26,3,
BA,2909703,Cristópolis,5,15,3,9,3,
BA,2909802,Cruz das Almas,25,36,48,52,84,
BA,2909901,Curaçá,9,7,32,24,1,
BA,2910008,Dário Meira,1,1,5,8,1,
BA,2910057,Dias d'Ávila,,,,,47,
BA,2910107,Dom Basílio,,1,2,,0,
BA,2910206,Dom Macedo Costa,5,2,2,2,3,
BA,2910305,Elísio Medrado,5,1,3,1,8,
BA,2910404,Encruzilhada,,4,11,3,10,
BA,2910503,Entre Rios,23,14,18,17,10,
BA,2910602,Esplanada,30,29,18,13,5,
BA,2910701,Euclides da Cunha,34,56,83,145,25,
BA,2910727,Eunápolis,,,,,161,
BA,2910750,Fátima,,,,,1,
BA,2910776,Feira da Mata,,,,,4,
BA,2910800,Feira de Santana,541,471,525,583,856,
BA,2910859,Filadélfia,,,,,11,
BA,2910909,Firmino Alves,7,,5,11,1,
BA,2911006,Floresta Azul,7,4,11,23,5,
BA,2911105,Formosa do Rio Preto,18,27,6,8,3,
BA,2911204,Gandu,27,21,31,27,29,
BA,2911253,Gavião,,,,,0,
BA,2911303,Gentio do Ouro,,2,,12,2,
BA,2911402,Glória,,,,8,0,
BA,2911501,Gongogi,3,5,3,4,1,
BA,2911600,Governador Mangabeira,36,30,49,22,9,
BA,2911659,Guajeru,,,,,0,
BA,2911709,Guanambi,56,96,77,73,118,
BA,2911808,Guaratinga,1,13,6,20,8,
BA,2911857,Heliópolis,,,,,0,
BA,2911907,Iaçu,25,24,31,44,14,
BA,2912004,Ibiassucê,39,11,1,10,3,
BA,2912103,Ibicaraí,21,13,60,70,17,
BA,2912202,Ibicoara,2,4,4,2,6,
BA,2912301,Ibicuí,22,29,14,14,12,
BA,2912400,Ibipeba,13,14,5,2,1,
BA,2912509,Ibipitanga,2,30,2,21,0,
BA,2912608,Ibiquera,2,3,1,,0,
BA,2912707,Ibirapitanga,8,3,20,8,15,
BA,2912806,Ibirapuã,3,4,9,8,5,
BA,2912905,Ibirataia,11,3,10,10,25,
BA,2913002,Ibitiara,20,2,2,9,4,
BA,2913101,Ibititá,1,6,15,,3,
BA,2913200,Ibotirama,34,42,14,52,13,
BA,2913309,Ichu,2,4,6,12,6,
BA,2913408,Igaporã,7,34,11,89,7,
BA,2913457,Igrapiúna,,,,,2,
BA,2913507,Iguaí,11,15,19,22,5,
BA,2913606,Ilhéus,125,111,105,97,215,
BA,2913705,Inhambupe,19,10,13,28,10,
BA,2913804,Ipecaetá,5,36,1,1,0,
BA,2913903,Ipiaú,19,22,38,75,55,
BA,2914000,Ipirá,45,19,36,39,19,
