Capital Humano
Sigla,Código,Município,1991,2000,
BA,2909406,Cotegipe,306564.399888213,541424.810839555,
BA,2909505,Cravolândia,115833.803708781,233530.211559906,
BA,2909604,Crisópolis,408302.575955686,645401.664041972,
BA,2909703,Cristópolis,337821.907482364,597713.50172604,
BA,2909802,Cruz das Almas,2177010.32558477,3753457.14582752,
BA,2909901,Curaçá,741225.820972062,1300417.56565568,
BA,2910008,Dário Meira,313656.807791608,576899.087664009,
BA,2910057,Dias d'Ávila,1383915.06178116,2840633.88099892,
BA,2910107,Dom Basílio,282174.103882075,449136.919242788,
BA,2910206,Dom Macedo Costa,112183.223413673,189414.157184267,
BA,2910305,Elísio Medrado,222189.581700329,349233.20287581,
BA,2910404,Encruzilhada,553665.467225424,1248401.64508948,
BA,2910503,Entre Rios,873984.866004929,1765054.29848428,
BA,2910602,Esplanada,750525.093792522,1226701.14074911,
BA,2910701,Euclides da Cunha,1405852.30812361,2308532.3001294,
BA,2910727,Eunápolis,2808771.8204654,4907214.59836956,
BA,2910750,Fátima,446294.694032452,681087.386822466,
BA,2910776,Feira da Mata,170569.439265338,306261.747000367,
BA,2910800,Feira de Santana,21245159.2573889,34762524.787642,
BA,2910859,Filadélfia,409486.135016612,763388.359710561,
BA,2910909,Firmino Alves,180208.337104367,240573.728406398,
BA,2911006,Floresta Azul,455669.256050849,539369.461963571,
BA,2911105,Formosa do Rio Preto,488593.882779165,761325.736636875,
BA,2911204,Gandu,930901.831882953,1432950.46614727,
BA,2911253,Gavião,187578.298129061,217419.435779026,
BA,2911303,Gentio do Ouro,307653.938298879,413526.947638753,
BA,2911402,Glória,338158.20424729,625134.188126939,
BA,2911501,Gongogi,233810.891145764,423225.63027002,
BA,2911600,Governador Mangabeira,568325.90058334,952430.977221006,
BA,2911659,Guajeru,204478.35280646,477358.319568426,
BA,2911709,Guanambi,2717203.57125464,4501128.64014775,
BA,2911808,Guaratinga,637231.873978734,961569.374117566,
BA,2911857,Heliópolis,285837.885527845,484868.552494125,
BA,2911907,Iaçu,708723.380984638,1283012.95791124,
BA,2912004,Ibiassucê,363365.264317571,604560.402306513,
BA,2912103,Ibicaraí,1070532.66269615,1496744.65306992,
BA,2912202,Ibicoara,229987.869427461,561843.9094473,
BA,2912301,Ibicuí,474208.594187376,675746.237751597,
BA,2912400,Ibipeba,560234.591299106,743687.363481942,
BA,2912509,Ibipitanga,326499.27584454,516463.031408861,
BA,2912608,Ibiquera,145685.405552304,188613.199129444,
BA,2912707,Ibirapitanga,669059.219891839,853654.894581165,
BA,2912806,Ibirapuã,268117.379982754,330529.572691387,
BA,2912905,Ibirataia,670505.29484334,1224911.34161383,
BA,2913002,Ibitiara,504255.065378552,601711.813071277,
BA,2913101,Ibititá,558399.326487217,810387.933928586,
BA,2913200,Ibotirama,743946.81501345,1265138.89166003,
BA,2913309,Ichu,357371.791466261,321494.42486952,
BA,2913408,Igaporã,454727.738569563,738898.217159425,
BA,2913457,Igrapiúna,316219.599932136,553592.592215134,
BA,2913507,Iguaí,596897.882373707,1049659.19451424,
BA,2913606,Ilhéus,9549055.38104901,14198805.1252648,
BA,2913705,Inhambupe,726301.726445361,1236672.4494396,
BA,2913804,Ipecaetá,382803.918065506,733851.220919494,
BA,2913903,Ipiaú,1760871.53887292,2434327.20720981,
BA,2914000,Ipirá,1669904.14150443,2547338.21099097,
BA,2914109,Ipupiara,254721.723719119,396196.052598216,
BA,2914208,Irajuba,158602.641951614,244690.627734117,
BA,2914307,Iramaia,455541.007813848,785121.288343636,
BA,2914406,Iraquara,517527.306083268,776378.087413565,
BA,2914505,Irará,728391.262794544,1228197.89895973,
BA,2914604,Irecê,2234476.17249917,3551740.36890004,
BA,2914653,Itabela,600603.720687475,1100571.17336291,
BA,2914703,Itaberaba,1838549.20699155,3348185.66727777,
BA,2914802,Itabuna,9832922.37773773,14311619.2793265,
BA,2914901,Itacaré,455912.708761093,730449.972055211,
BA,2915007,Itaeté,325811.325050311,536700.972748598,
BA,2915106,Itagi,374941.745653346,675528.33484386,
BA,2915205,Itagibá,586456.150508981,797229.222908252,
BA,2915304,Itagimirim,229276.884135658,391251.282053625,
BA,2915353,Itaguaçu da Bahia,411698.445910665,410007.660112744,
BA,2915403,Itaju do Colônia,295661.155652398,379381.549542287,
BA,2915502,Itajuípe,924937.084529926,1136346.53065795,
BA,2915601,Itamaraju,2140836.76208755,3223565.43059474,
BA,2915700,Itamari,263582.033917564,366595.661089371,
BA,2915809,Itambé,757743.904062521,1296179.65660754,
BA,2915908,Itanagra,138395.941258618,240155.269139726,
BA,2916005,Itanhém,778659.900668343,1038152.7621878,
BA,2916104,Itaparica,629498.419542291,1173902.02370572,
BA,2916203,Itapé,455003.736577905,722140.453723784,
BA,2916302,Itapebi,281041.568525651,460345.871050611,
BA,2916401,Itapetinga,2305915.79234956,3537777.38346264,
BA,2916500,Itapicuru,557754.062768632,929180.253161105,
BA,2916609,Itapitanga,323350.918137169,503187.235485058,
BA,2916708,Itaquara,173079.676376423,304816.934557483,
